Jurisdiction,CTR_ID,Organization_Name,Location,Survey_Close_Date,Survey_Cycle,Total_Employees,Surveys_Returned,Response_Rate,Total_Weekly_Trips,Drive_Alone_Rate,VMT_per_Employee,Yearly_GHG_Metric_Tons,Weekly_CWW_Days,Weekly_Telework_Days,Weekly_Bus_Trips,Weekly_Train_Trips,Weekly_Carpool_Trips,Weekly_Vanpool_Trips,Weekly_Walk_Trips,Weekly_Bike_Trips,Weekly_Drive_Alone_Trips,Weekly Other Trips,Yearly_Total_VMT,Data_Source
City of Bellevue,E83147,AAA Washington,ODT,,1993/1994,128,104.0,0.8359375,487.0,0.699009901,13.97399333,,0.0,0.0,39.0,0.0,67.0,21.0,5.0,2.0,353.0,0.0,447167.78656000004,Historic Records
City of Bellevue,E81315,AREVA T&D Inc.,ODT,,1993/1994,228,155.0,0.692982456,746.0,0.795219124,10.14617687,,0.0,11.0,25.0,0.0,81.2,0.0,11.0,11.0,598.8,8.0,578332.0815900001,Historic Records
City of Bellevue,E81042,Ace Novelty,ODT,,1993/1994,134,125.0,0.611872146,600.0,0.732343234,11.57064387,,0.0,0.0,59.0,0.0,71.2,0.0,0.0,7.0,443.8,19.0,387616.569645,Historic Records
City of Bellevue,E84525,Attachmate Corporation,ODT,,1993/1994,525,175.0,0.352,863.5,0.754797688,12.53749513,,0.0,1.8,74.0,0.0,94.0,21.0,1.8,7.0,652.9,11.0,1645546.2358125001,Historic Records
City of Bellevue,E81331,Bank of America,DT,,1993/1994,73,71.0,0.708737864,346.5,0.715669516,10.5547013,,0.0,0.0,41.0,0.0,31.3,18.0,0.0,0.0,251.2,5.0,192623.29872499997,Historic Records
City of Bellevue,E81323,CH2M Hill,DT,,1993/1994,342,239.0,0.707602339,1116.5,0.63303257,8.32516087,,0.0,0.0,205.375,0.0,119.0,24.0,25.0,4.0,719.125,20.0,711801.254385,Historic Records
City of Bellevue,E81307,City University,ODT,,1993/1994,106,94.0,0.91509434,439.0,0.814058957,13.5768315,,0.0,4.0,17.0,0.0,51.0,0.0,5.0,0.0,359.0,3.0,359786.03475,Historic Records
City of Bellevue,E81240,City of Bellevue,ODT,,1993/1994,695,498.0,0.720863309,2335.0,0.532623669,9.387868329,,0.0,8.0,88.6,0.0,787.375,102.0,26.0,11.125,1275.9,36.0,1631142.12216375,Historic Records
City of Bellevue,E81257,City of Bellevue,ODT,,1993/1994,136,0.0,0.0,0.0,0.472396202,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Historic Records
City of Bellevue,E84491,Coca-Cola Bottling of Washington,ODT,,1993/1994,163,117.0,0.73006135,561.0,0.941798942,16.77047619,,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,534.0,7.0,683396.9047425,Historic Records
